Area,Total population,Young,Adults,Elderly,Populated squares,Mean X,Mean Y,Mean Z
Nousiainen,4715,1381,2450,884,237,0.317667119198001,0.192284539497639,0.517818813044195
Nurmes,9552,1909,4506,3137,141,0.354704336249636,0.152121017319057,0.394145203869818
Nurmijärvi,42993,13954,22274,6765,671,0.165988011305341,0.289229796916808,0.867208596579138
Närpes,9479,2357,4499,2623,351,0.309279096778497,0.238215633164482,0.61020041535843
Orimattila,16003,4235,7949,3819,242,0.296001076654345,0.155445274627366,0.464923122413932
Oripää,1329,366,630,333,387,0.327641630314323,0.12581813802084,0.35849154837658
Orivesi,9158,2190,4426,2542,589,0.279918704345434,0.262847823590739,0.684475880934567
Oulainen,7288,2168,3298,1822,75,0.341686725446254,0.170548548994471,0.446591140590249
Oulu,205489,70583,103754,31152,386,0.297409394652479,0.217128499400884,0.589618604136217
Outokumpu,6688,1569,3133,1986,196,0.247859673114394,0.203872228481577,0.635232562131212
Padasjoki,2896,512,1281,1103,853,0.224575165902004,0.208993072337942,0.681213316110657
Paimio,10850,3115,5498,2237,292,0.173527584403022,0.30305359342989,0.867781961721511
Paltamo,3273,684,1570,1019,209,0.284437502129701,0.243130118496594,0.649721870877368
Pargas,15132,3801,7365,3966,187,0.348938299846472,0.172522431709639,0.443205923666184
Parikkala,4734,758,2209,1767,267,0.187340802142436,0.257728380390599,0.80877506104238
Parkano,6404,1489,2947,1968,614,0.359873249129048,0.155154084341504,0.395798103667697
Pedersöre,11081,4183,4982,1916,419,0.164237513401971,0.330777616455377,0.895619634459593
Pelkosenniemi,939,135,494,310,321,0.315741364777864,0.175653130445831,0.486140045832557
Pello,3373,554,1552,1267,267,0.289035952351436,0.16402451897785,0.493508123829894
Perho,2759,1033,1103,623,93,0.165734837921041,0.211142700444518,0.786578694257021
Pertunmaa,1690,303,801,586,239,0.219066683147969,0.164990381739135,0.601537094768032
Petäjävesi,3841,1103,1860,878,145,0.271517151105573,0.204894698694624,0.60232450826993
Pieksämäki,17682,3724,8680,5278,233,0.253435153518003,0.272161607630718,0.731823372372737
Pielavesi,4391,969,1915,1507,267,0.270812960041749,0.233375438142232,0.652787136766913
Jakobstad,19208,5355,9127,4726,770,0.225735765748149,0.276906861432923,0.775030830768248
Pihtipudas,4032,973,1880,1179,536,0.224474553352077,0.254927681011627,0.75045940880074
Pirkkala,19623,6131,10180,3312,303,0.247385119746431,0.228645084991529,0.678650199286789
Polvijärvi,4246,856,2101,1289,69,0.314649637277586,0.197748977402148,0.532109372468685
Pomarkku,2089,494,981,614,481,0.1620955655302,0.306579901163832,0.884000432034512
Pori,83934,22401,41005,20528,154,0.335549325482118,0.147168181922782,0.401646092211143
Pornainen,5035,1644,2639,752,735,0.342223676851405,0.140071587294544,0.378765207609239
Porvoo,50380,14429,25846,10105,127,0.294682688716697,0.255219648198617,0.654666227467411
Posio,3183,478,1511,1194,566,0.288592862416755,0.264682171117798,0.675898866952908
Pudasjärvi,7873,1942,3606,2325,398,0.163203398340627,0.235556995314983,0.821880886600179
Pukkila,1860,490,956,414,659,0.191982410982429,0.230931392920201,0.768760940239555
Punkalaidun,2828,603,1301,924,107,0.286862292859034,0.259641741335666,0.67104706007154
Puolanka,2528,410,1199,919,241,0.330103813915932,0.183410230702449,0.485669143578381
Puumala,2151,306,984,861,266,0.185133199896342,0.248766035038582,0.802181424516097
Pyhtää,5140,1233,2638,1269,335,0.206748853830228,0.308194838873815,0.830376544284656
Pyhäjoki,3077,842,1389,846,191,0.259510030111029,0.290774796375074,0.746054107709572
Pyhäjärvi,5131,1169,2317,1645,131,0.254473668521434,0.189773924715213,0.597802673078026
Pyhäntä,1578,538,704,336,362,0.235495495115231,0.234170768972484,0.70508092537267
Pyhäranta,2004,474,989,541,98,0.221848052174211,0.236384545187209,0.729157163911163
Pälkäne,6435,1501,3164,1770,84,0.355807906404695,0.130383464340228,0.344054813061125
Pöytyä,8276,2298,4008,1970,363,0.30249782296058,0.220007659225734,0.588107992230683
Raahe,24679,7373,11571,5735,434,0.344720700014416,0.168923348261134,0.439970069519263
Raasepori,27536,6764,13661,7111,358,0.246017278271945,0.194761250840903,0.620586030432019
Raisio,24056,6337,12561,5158,743,0.34176641852182,0.202204988615846,0.509155892985965
Rantasalmi,3431,666,1653,1112,48,0.356658455491667,0.153728928924079,0.395820310933322
Ranua,3783,1067,1709,1007,385,0.198826417617215,0.30204320907158,0.835206823101147
Rauma,39205,10191,19470,9544,361,0.193957308451247,0.215740920429574,0.743486695432248
Rautalampi,3121,659,1414,1048,326,0.35246954963496,0.132292292806028,0.351376232582014
Rautavaara,1602,264,731,607,327,0.230992592416829,0.26411400515936,0.752698707716139
Rautjärvi,3226,522,1542,1162,199,0.184939213673877,0.280526659202199,0.834837948027182
Reisjärvi,2718,824,1209,685,234,0.174222146153337,0.330025506954046,0.884307756209412
Riihimäki,28793,8138,14672,5983,167,0.255616549071058,0.213217838763545,0.640530659756436
Ristijärvi,1272,205,609,458,102,0.304242778069116,0.236071862106178,0.613029997235903
Rovaniemi,63042,19567,32090,11385,163,0.177223766540369,0.26256238642179,0.828784498517099
Ruokolahti,4994,945,2445,1604,952,0.200041316342898,0.19529048424575,0.698469295533883
Ruovesi,4283,825,1964,1494,373,0.188656605060645,0.324073099786685,0.864171581209264
Rusko,6327,1884,3309,1134,381,0.298522446574637,0.20554224238647,0.567078440498931
Rääkkylä,2126,305,1016,805,106,0.353587024556639,0.157226885380906,0.406307056386763
Saarijärvi,9309,2094,4430,2785,316,0.156929376907155,0.320380817029715,0.897991356115304
Salla,3400,527,1629,1244,567,0.264636199162878,0.228669955767485,0.65375016210226
Salo,51833,12803,25789,13241,374,0.148232140604723,0.229890435591757,0.840263223760197
Saltvik,1849,502,921,426,1458,0.342470475805325,0.188373703466311,0.481912476214581
Sastamala,24277,5906,11614,6757,96,0.382293576182813,0.077643609999838,0.199033331186819
Sauvo,2945,691,1519,735,934,0.329171495636549,0.17513889807979,0.469678073867577
Savitaipale,3383,620,1517,1246,209,0.351546691089753,0.172269888963528,0.440033039218881
Savonlinna,32974,7258,15782,9934,288,0.225115525940192,0.302995032511234,0.802673532294566
Savukoski,1005,174,515,316,1236,0.180043542939706,0.317011020050863,0.869389186923481
Seinäjoki,63781,20315,31574,11892,121,0.151340587051318,0.216176480604321,0.819025501200057
Sievi,4910,1922,2088,900,655,0.304334218233064,0.167296835451991,0.481684464337884
Siikainen,1437,290,653,494,154,0.258981249962566,0.200385772789602,0.611904398190999
Siikajoki,5145,1667,2366,1112,188,0.334520470400857,0.142022816113549,0.390779505158525
Siikalatva,5231,1260,2461,1510,303,0.237900818713105,0.203791702249243,0.650447168230873
Siilinjärvi,21423,6443,10854,4126,399,0.227666491024804,0.224483591512832,0.701898690888119
Simo,2988,665,1399,924,346,0.205016498227822,0.275537810390484,0.802268518700695
Sipoo,21170,6447,11160,3563,180,0.222997000854885,0.192636168606802,0.653643233874917
Siuntio,6145,1743,3306,1096,300,0.298305537674783,0.254639465064244,0.649225023432404
Sodankylä,8303,1847,4295,2161,204,0.325500829803733,0.224320827428981,0.567442461591841
Soini,2052,529,924,599,411,0.175213741116779,0.195092717594459,0.743899467779386
Somero,8711,2005,4046,2660,162,0.28153486706202,0.20204621479019,0.583037350191725
Sonkajärvi,3897,797,1899,1201,495,0.331733578437338,0.198510341358403,0.513450905571886
Sotkamo,10336,2587,5184,2565,428,0.201945979082963,0.26286116006076,0.792940491432494
Sottunga,88,6,46,36,729,0.178313786644875,0.269915802090427,0.834273366706027
Sulkava,2492,427,1129,936,16,0.380534412015957,0.100970868754663,0.256460259922315
Sund,1023,242,533,248,333,0.198219353724072,0.308374165986321,0.841126200036857
Suomussalmi,7727,1342,3742,2643,70,0.382653418484025,0.081632936349788,0.208635174143414
Suonenjoki,7064,1573,3380,2111,722,0.158388838254456,0.265051582799968,0.858249149741334
Sysmä,3657,575,1616,1466,395,0.22298140296915,0.271307628831083,0.772530407391274
Säkylä,6721,1505,3267,1949,400,0.271425908569608,0.253962026369369,0.683198357507035
Taipalsaari,4671,1139,2428,1104,223,0.342940786696506,0.158838374885805,0.420256650263987
Taivalkoski,3976,980,1897,1099,213,0.212431541657862,0.312459940879694,0.826950601954697
Taivassalo,1639,310,812,517,352,0.166379060228372,0.246297724115677,0.828506183274016
Tammela,6015,1515,2985,1515,123,0.362398364065213,0.134559812931027,0.348079129696637
Tampere,238140,71390,123793,42957,338,0.32395686396008,0.205654080130743,0.535927999906085
Tervo,1520,242,732,546,441,0.311824714319425,0.201333964935456,0.542404677521926
Tervola,3001,767,1414,820,240,0.226918491204105,0.259894567710172,0.753257630909154
Teuva,5076,1196,2293,1587,224,0.21845978175235,0.186075287766228,0.648379157030567
Tohmajärvi,4361,883,2147,1331,175,0.324003906028886,0.13746324519302,0.390552705717049
Toholampi,3033,901,1349,783,391,0.137951272484371,0.329921534732635,0.922508748867148
Toivakka,2388,607,1163,618,137,0.265488636079289,0.196410426174162,0.594720881983208
Tornio,21602,6348,10502,4752,195,0.253802079245965,0.255868470751168,0.709954558367734
Turku,192962,57134,97911,37917,327,0.232118179360543,0.175847543045329,0.60384122226713
Tuusniemi,2477,423,1231,823,262,0.355464263354262,0.157995832848078,0.406161111698202
Tuusula,38599,11498,20552,6549,303,0.187080642185022,0.293201133507411,0.842975205904122
Tyrnävä,6637,2846,2970,821,216,0.30321054342254,0.24590956520288,0.629894682669139
Ulvila,12871,3411,6259,3201,175,0.225742413546874,0.214986965419839,0.689641570185422
Urjala,4688,975,2263,1450,188,0.341872730188571,0.144141818247161,0.388495061145318
Utajärvi,2676,679,1225,772,328,0.323520183330208,0.196467072825388,0.519024555479705
Utsjoki,1212,259,599,354,212,0.210587674863402,0.230215819725309,0.737793088879041
Uurainen,3681,1272,1715,694,152,0.142092869458308,0.164786888714614,0.757091865705498
Nykarleby,7464,2132,3533,1799,212,0.262409558890787,0.237221096102758,0.670572300674171
Uusikaupunki,15522,3555,7799,4168,373,0.359740955908263,0.128970933690326,0.33746749808182
Vaala,2792,562,1278,952,280,0.207549339304187,0.238713974202337,0.754575675537553
Vaasa,67636,21718,33003,12915,223,0.313682003565805,0.133353840540047,0.391207620010948
Valkeakoski,20972,5548,10025,5399,239,0.311086817242073,0.210050518662115,0.559588935252518
Vantaa,233775,71927,128107,33741,213,0.306106773942208,0.246431517628032,0.627059937484149
Varkaus,20466,4515,10081,5870,244,0.206776592609954,0.290863906929019,0.815003733731307
Vehmaa,2293,545,1129,619,144,0.359091965687371,0.137871079070015,0.35842795455168
Vesanto,2014,337,883,794,262,0.23639128418279,0.252587416882989,0.730096183716067
Vesilahti,4355,1340,2246,769,226,0.319157733954944,0.196278687786604,0.523830022914938
Veteli,3114,794,1441,879,138,0.278084398882547,0.188369275260149,0.560801939148851
Vieremä,3579,894,1781,904,319,0.212426885529228,0.253368074276746,0.766269898942078
Vihti,29158,8591,15266,5301,472,0.319358887740827,0.226489941752796,0.578476895867514
Viitasaari,6176,1290,2820,2066,524,0.246498256344555,0.238109480412958,0.69470649128873
Vimpeli,2827,679,1372,776,83,0.282345836870699,0.190871590043755,0.560045811278996
Virolahti,3109,607,1560,942,188,0.231656463433464,0.311841820875253,0.802692594832573
Virrat,6544,1316,2950,2278,495,0.299126707186303,0.195325475112659,0.546710031006803
Vårdö,447,108,200,139,51,0.380986208742689,0.08926294602013,0.228118694498409
Vöyri,6461,1772,3089,1600,307,0.304181994831644,0.149934345795696,0.442092597873933
Ylitornio,3918,738,1789,1391,270,0.228140826926618,0.165102683865904,0.586166324996615
Ylivieska,15255,5201,7218,2836,204,0.255605831964235,0.199757777136143,0.615753850528875
Ylöjärvi,33254,10489,17145,5620,588,0.313621329984434,0.194592814527803,0.527208701148545
Ypäjä,2343,536,1178,629,148,0.333039289956268,0.189792635921131,0.495116792445846
Ähtäri,5616,1285,2631,1700,322,0.288344363420409,0.202006100576385,0.573759860803861
Äänekoski,18765,4958,9041,4766,493,0.254428362851708,0.242416969556168,0.689784579132453
